id	parent	source	locator	kind	obligation
P-TABLE1	EVAL-REPRO	main	p8-9 section 8; TABLE1	experiment	HUNL Table 1: opponents, samples, units and caption one-standard-deviation convention.
P-TABLE2	EVAL-REPRO	main	p8-9 section 8; TABLE2	experiment	Dice Table 2: four variants, 1024 iterations, depth two, 1024-playthrough average upper bound.
P-LIMITS	SCOPE-SUMMARY	main	p9-10 section 9/broader impact; LIMITS	context	Two-player zero-sum and linear infostate-size limitations; not general multiplayer guarantee.
P-BROADER-IMPACT	SCOPE-SUMMARY	main	p9-10 section 9/broader impact; BROADER-IMPACT	context	Index applications, released dice-only code, reproducibility and stated limitations.
P-FN-STAR	SCOPE-INTRO	main	p1 footnote STAR	context	Author equal-contribution marker; contextual only.
P-FN-2	EXEC-REFINE	main	p2 footnote 2	footnote	Official repository link; public implementation scope and immutable commit.
P-FN-3	FOUND-POLICY	main	p3 footnote 3	footnote	Known-policy modelling explanation is not observability of private actions.
P-FN-4	PUBLIC-STATE	main	p3 footnote 4	footnote	Public observation need not include all common knowledge.
P-FN-5	PBS-ENCODING	main	p4 footnote 5	footnote	Joint history law versus joint infostate law cites [45,52]; bridge dependency.
P-FN-6	PBS-ENCODING	main	p4 footnote 6	footnote	Compact public-state/history encoding assumptions.
P-FN-7	PBS-SUBGAME	main	p5 footnote 7	footnote	Public-root versus PBS-root definition of subgame.
P-FN-8	VAL-THEOREM1	main	p5 footnote 8	footnote	Printed linear combination of supergradients needs convex-coefficient conditions.
P-FN-9	ALG-SAMPLE	main	p6 footnote 9	footnote	FP sampling uses current selected-player policy with opponents averaged.
P-FN-10	ALG-SAMPLE	main	p7 footnote 10	footnote	All-player exploration also claimed correct but less efficient; reach obligations.
P-EQ-01	PBS-INFOVALUE	main	p5 equation (1)	equation	Type best-response value and conditional history law; define zero-reach case.
P-EQ-02	VAL-THEOREM1	main	p5 equation (2)	equation	V plus centered-supergradient coordinate equals equilibrium infostate value.
P-EQ-03	VAL-THEOREM1	supp	p20 equation (3)	equation	Theorem 1 restatement; distinguish simplex support from normalized cone extension.
P-EQ-04	VAL-THEOREM1	supp	p20 equation (4)	equation	Expand scalar value as belief-weighted type values against chosen equilibrium opponent.
P-EQ-05	VAL-THEOREM1	supp	p20 equation (5)	equation	Product-rule derivative requires differentiability of the chosen affine branch.
P-EQ-06	VAL-THEOREM1	supp	p20 equation (6)	equation	Derivative of type best-response value in own belief claimed zero; off-path gluing required.
P-EQ-07	VAL-THEOREM1	supp	p20 equation (7)	equation	Chain rule for normalization map; exclude origin and identify domain.
P-EQ-08	VAL-THEOREM1	supp	p20 equation (8)	equation	Normalization Jacobian; check identity/all-ones tensor dimensions.
P-EQ-09	VAL-THEOREM1	supp	p20 equation (9)	equation	Jacobian specialization to probability simplex with coordinate sum one.
P-EQ-10	VAL-THEOREM1	supp	p20 equation (10)	equation	Expand transposed gradient/Jacobian contraction with correct dimensions.
P-EQ-11	VAL-THEOREM1	supp	p20 equation (11)	equation	Replace type-value expectation by scalar equilibrium value.
P-EQ-12	VAL-THEOREM1	supp	p20 equation (12)	equation	Centered gradient coordinate result; do not infer global concavity of normalized extension.
P-EQ-13	VAR-THEOREM5	supp	p25 equation (13)	equation	Cumulative action-value maximizing set over iterations 0..t.
P-EQ-14	VAR-THEOREM5	supp	p25 equation (14)	equation	Counterfactual regret definition for T+1 steps.
P-EQ-15	VAR-THEOREM5	supp	p25 equation (15)	equation	Separate last step of cumulative regret sum.
P-EQ-16	VAR-THEOREM5	supp	p25 equation (16)	equation	Earlier maximizing action dominates substituted action for earlier cumulative values.
P-EQ-17	VAR-THEOREM5	supp	p25 equation (17)	equation	Regret recurrence with current baseline value.
P-EQ-18	VAR-THEOREM5	supp	p25 equation (18)	equation	Last term nonpositive needs exact continuation/best-response compatibility, not just a label.
P-THM1-M	VAL-THEOREM1	main	p5 Theorem 1	theorem	Audit all quantifiers, equilibrium selection, gradient convention and type values.
P-THM1-S	VAL-THEOREM1	supp	p20 Theorem 1	theorem	Restated theorem and proof; do not merge diagnostic with original source claim.
P-THM2-M	RL-THEOREM2	main	p7 Theorem 2	theorem	Ideal latest-sample learner; specify error target/norm, N limit, fixed T and constant C.
P-THM2-S	RL-THEOREM2	supp	p21 Theorem 2	theorem	Restatement speaks of values of an approximate-equilibrium policy, not automatically exact value error.
P-THM3-M	SAFE-THEOREM3	main	p8 Theorem 3	theorem	Printed delta*C1+delta*C2/sqrt(T); preserve as source obligation separately from repaired bound.
P-THM3-S	SAFE-THEOREM3	supp	p21 Theorem 3	theorem	Same printed delta twice; source proof has an independent finite-iteration term.
P-THM4	VAR-THEOREM4	supp	p22 Theorem 4	theorem	FLOP as GWFP and two-player zero-sum convergence; exact step-size/error conditions.
P-THM5	VAR-THEOREM5	supp	p23 Theorem 5	theorem	CFR-AVG with exact continuation solves; not modified difference-target variant.
P-LEM1	VAL-LEMMA1	supp	p19 Lemma 1	lemma	Own-belief linearity at fixed opponent needs a single legal stitched best response.
P-LEM2	VAL-LEMMA2	supp	p19 Lemma 2	lemma	Minimum over opponent policies equals equilibrium value and minimizers are equilibrium opponents.
P-LEM3	RL-LEMMA3	supp	p20-21 Lemma 3	lemma	Depth induction, stable queries and relevant infinite visits; values/policies and quantifiers.
P-ALG1-01	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 1: PARAMS	operation	Input root PBS, value/policy parameters and replay datasets.
P-ALG1-02	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 2: WHILE	operation	Continue only while root is not terminal; termination and leaf progress.
P-ALG1-03	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 3: CONSTRUCT	operation	Construct finite depth-limited subgame with public closure.
P-ALG1-04	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 4: INITIALIZE	operation	Initialize average/current policy and warm-start offset; uniform policy when offset zero.
P-ALG1-05	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 5: LEAF-INIT	operation	Set initial leaf values; preserve exact helper signature and selected policy.
P-ALG1-06	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 6: EV-INIT	operation	Initialize root infostate value vector by expected-value calculation.
P-ALG1-07	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 7: DRAW-T	operation	Draw iteration from warm+1..T; require nonempty range and exact sampling weights. Distribution uniform.
P-ALG1-08	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 8: FOR-T	operation	Iterate every t from warm+1 through T inclusive.
P-ALG1-09	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 9: IF-SAMPLED	operation	Compare current iteration to previously drawn sample index.
P-ALG1-10	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 10: DRAW-LEAF	operation	Sample one or multiple leaf PBSs using current pi at t-1, before update.
P-ALG1-11	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 11: UPDATE	operation	Apply solver policy update to previous iterate; make variant explicit.
P-ALG1-12	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 12: AVERAGE	operation	Update behavioral average with own-reach semantics and printed coefficients. Weights t/(t+1) and 1/(t+1).
P-ALG1-13	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 13: LEAF-UPDATE	operation	Recompute leaf values with designated current and/or average policy.
P-ALG1-14	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 14: EV-AVERAGE	operation	Update root value target with printed scalar weights and current policy value. Weights t/(t+1) and 1/(t+1).
P-ALG1-15	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 15: VALUE-DATA	operation	Insert root PBS/value-vector pair into value replay memory.
P-ALG1-16	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 16: FOR-PBS	operation	Iterate over PBS at every public state in subgame, not only visited path.
P-ALG1-17	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 17: POLICY-DATA	operation	Insert average-policy targets into optional policy replay memory.
P-ALG1-18	ALG-ONE	main	p6 Algorithm 1 SELFPLAY operation 18: NEXT-ROOT	operation	Advance to sampled leaf; specify handling of multiple sampled leaves.
P-ALG2-01	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 1: PARAMS	operation	Input root PBS, value/policy parameters and replay datasets.
P-ALG2-02	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 2: WHILE	operation	Continue only while root is not terminal; termination and leaf progress.
P-ALG2-03	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 3: CONSTRUCT	operation	Construct finite depth-limited subgame with public closure.
P-ALG2-04	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 4: INITIALIZE	operation	Initialize average/current policy and warm-start offset; uniform policy when offset zero.
P-ALG2-05	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 5: LEAF-INIT	operation	Set initial leaf values; preserve exact helper signature and selected policy.
P-ALG2-06	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 6: EV-INIT	operation	Initialize root infostate value vector by expected-value calculation.
P-ALG2-07	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 7: DRAW-T	operation	Draw iteration from warm+1..T; require nonempty range and exact sampling weights. Distribution proportional to t.
P-ALG2-08	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 8: FOR-T	operation	Iterate every t from warm+1 through T inclusive.
P-ALG2-09	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 9: IF-SAMPLED	operation	Compare current iteration to previously drawn sample index.
P-ALG2-10	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 10: DRAW-LEAF	operation	Sample one or multiple leaf PBSs using current pi at t-1, before update.
P-ALG2-11	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 11: UPDATE	operation	Apply solver policy update to previous iterate; make variant explicit.
P-ALG2-12	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 12: AVERAGE	operation	Update behavioral average with own-reach semantics and printed coefficients. Weights t/(t+2) and 2/(t+2).
P-ALG2-13	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 13: LEAF-UPDATE	operation	Recompute leaf values with designated current and/or average policy.
P-ALG2-14	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 14: EV-AVERAGE	operation	Update root value target with printed scalar weights and current policy value. Weights t/(t+2) and 2/(t+2).
P-ALG2-15	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 15: VALUE-DATA	operation	Insert root PBS/value-vector pair into value replay memory.
P-ALG2-16	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 16: FOR-PBS	operation	Iterate over PBS at every public state in subgame, not only visited path.
P-ALG2-17	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 17: POLICY-DATA	operation	Insert average-policy targets into optional policy replay memory.
P-ALG2-18	ALG-TWO	supp	p15 Algorithm 2 REBEL-LINEAR-CFR-D operation 18: NEXT-ROOT	operation	Advance to sampled leaf; specify handling of multiple sampled leaves.
P-LEAF-01	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 1: PARAMS	operation	Inputs beta, policy and value parameters; compare four-argument Algorithm 1 usage.
P-LEAF-02	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 2: ISLEAF	operation	Branch on cut/terminal leaf; no prediction substitution for actual terminal payoff without contract.
P-LEAF-03	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 3: FORTYPE	operation	Enumerate every compatible private information state.
P-LEAF-04	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 4: PREDICT	operation	Assign network value to the designated type and PBS.
P-LEAF-05	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 5: ELSE	operation	Internal public-belief state branch.
P-LEAF-06	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 6: FORACTION	operation	Enumerate legal joint actions with correct empty/zero-reach behavior.
P-LEAF-07	SEARCH-CFRD	supp	p15 Algorithm 2 SETLEAFVALUES operation 7: RECURSE	operation	Apply T(beta,pi,a) and recursively assign leaves.
P-SAMPLE-01	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 1: PARAMS	operation	Inputs subgame and selected iterative policy.
P-SAMPLE-02	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 2: DRAW-PLAYER	operation	Draw exploration player uniformly once per sampled trajectory.
P-SAMPLE-03	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 3: DRAW-HISTORY	operation	Draw compatible hidden root history from root PBS.
P-SAMPLE-04	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 4: WHILE	operation	Continue until sampled history is a leaf of the subgame.
P-SAMPLE-05	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 5: DRAW-COIN	operation	Draw c uniform on [0,1] at each step; shared comparison versus per-player coins.
P-SAMPLE-06	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 6: FORPLAYER	operation	Iterate over all players in the joint action.
P-SAMPLE-07	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 7: EXPLORE-IF	operation	Explore only selected player when c<epsilon.
P-SAMPLE-08	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 8: UNIFORM	operation	Uniformly sample a legal action in exploration branch.
P-SAMPLE-09	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 9: ELSE	operation	Nonexploration branch.
P-SAMPLE-10	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 10: POLICY	operation	Sample action from information-local policy, not hidden state.
P-SAMPLE-11	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 11: TRANSITION	operation	Sample successor history under stochastic transition and joint action.
P-SAMPLE-12	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 12: RETURN	operation	Return PBS corresponding to reached leaf under intended policy, not perturbed trajectory posterior.
P-SAMPLE-13	ALG-SAMPLE	supp	p15 Algorithm 2 SAMPLELEAF operation 13: EPSILON	operation	Training epsilon=.25; test epsilon=0.
P-A-1	SCOPE-INTRO	supp	p14 appendix A; A-1	context	Belief-state search plus learning contribution.
P-A-2	SCOPE-INTRO	supp	p14 appendix A; A-2	context	Alternative to safe-search techniques and Theorem 3 scope.
P-A-3	SCOPE-INTRO	supp	p14 appendix A; A-3	context	Modified CFR-AVG contribution and distinction from proved exact variant.
P-A-4	SCOPE-INTRO	supp	p14 appendix A; A-4	context	Connection between scalar PBS gradients and infostate values.
P-A-5	SCOPE-INTRO	supp	p14 appendix A; A-5	context	FLOP contribution and empirical near-inverse-iteration rate, not a proved rate.
P-OWN-REACH	POLICY-AVERAGE	supp	p14 appendix B unnumbered displays; OWN-REACH	equation	Own action reach product x_i^pi(s_i); use perfect recall and history compatibility.
P-REACH-MIX	POLICY-AVERAGE	supp	p14 appendix B unnumbered displays; REACH-MIX	equation	Weighted behavioral mixture numerator and denominator with alpha and own reach.
P-REACH-ZERO	POLICY-AVERAGE	supp	p14 appendix B unnumbered displays; REACH-ZERO	equation	Zero own-reach denominator requires explicit fallback preserving realization equivalence.
P-L1-EXPECTATION	VAL-LEMMA1	supp	p19 appendix F proof Lemma 1; L1-EXPECTATION	claim	Unnumbered sum beta_i(si)*v_i(si|beta_-i,pi_-i); compatible chance/conditioning law.
P-L1-GLUING	VAL-LEMMA1	supp	p19 appendix F proof Lemma 1; L1-GLUING	claim	Simultaneously attain type best responses in one information-local legal policy.
P-L1-FIXED-OPPONENT	VAL-LEMMA1	supp	p19 appendix F proof Lemma 1; L1-FIXED-OPPONENT	claim	Type conditional values independent of own mixing weights, including zero-probability types.
P-L2-MINIMAX	VAL-LEMMA2	supp	p19 appendix F proof Lemma 2; L2-MINIMAX	claim	Best-response/minimum characterization needs finite-game existence or explicit compactness.
P-L2-EQUILIBRIUM	VAL-LEMMA2	supp	p19 appendix F proof Lemma 2; L2-EQUILIBRIUM	claim	Characterize minimizing opponents without uniqueness assumption.
P-L2-CONCAVITY	VAL-LEMMA2	supp	p19 appendix F proof Lemma 2; L2-CONCAVITY	claim	Pointwise minimum of affine branches on the admissible own-belief simplex.
P-F-FIG3	VAL-THEOREM1	supp	p19-20 appendix F; F-FIG3	claim	Coin-game Figure 3 and nonunique type values at nondifferentiable scalar value.
P-F-NORMALIZE	VAL-THEOREM1	supp	p19-20 appendix F; F-NORMALIZE	claim	Zero-homogeneous extension b -> value(b/|b|_1) excludes origin.
P-F-SUPERGRADIENT	VAL-THEOREM1	supp	p19-20 appendix F; F-SUPERGRADIENT	claim	Global supporting inequality for concave supergradient; specify domain.
P-F-CONCAVITY-STEP	VAL-THEOREM1	supp	p19-20 appendix F; F-CONCAVITY-STEP	claim	Printed assertion that normalized extension stays concave is not generally valid (DIAG-R3-Q).
P-F-RADIAL-NORMAL	VAL-THEOREM1	supp	p19-20 appendix F; F-RADIAL-NORMAL	claim	Constancy on rays is not constancy normal to simplex; compare derivative claims.
P-F-BR-AFFINE-BRANCH	VAL-THEOREM1	supp	p19-20 appendix F; F-BR-AFFINE-BRANCH	claim	Select active affine opponent branch and distinguish its derivative from value-function derivative.
P-F-GRADIENT-TO-VALUE	VAL-THEOREM1	supp	p19-20 appendix F; F-GRADIENT-TO-VALUE	claim	Conclude centered derivative/type value only under audited extension convention.
P-F-BOUNDARY	VAL-THEOREM1	supp	p19-20 appendix F; F-BOUNDARY	claim	Handle simplex boundary, unavailable types and directional derivatives separately.
P-L3-DEPTH	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-DEPTH	claim	Finite sequence of recursively searched subgames supplies induction measure.
P-L3-BASE	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-BASE	claim	Terminal-leaf subgame uses actual payoff and retains C/sqrt(T) solve error.
P-L3-INDUCTION	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-INDUCTION	claim	Replace converged descendant values only after query/target correspondence is established.
P-L3-STABILITY	RL-LEMMA3	supp	p20-21 appendix G Lemma 3 proof; L3-STABILITY	claim	Deterministic solving/tie breaks imply stabilized recurrent queries; conditions must be explicit.
